Model,Temp,Language,Total,Compilable_before,Compilable_after,Compilable_before (%),Compilable_after (%)
gpt-4o-mini,0.0,Malay,1240,410,881,33.064516129032256,71.04838709677419
gpt-4o-mini,0.0,Persian,1240,640,768,51.61290322580645,61.935483870967744
gpt-4o-mini,0.0,Portuguese,1240,431,789,34.75806451612903,63.62903225806451
gpt-4o-mini,0.0,Russian,1240,609,743,49.112903225806456,59.91935483870968
gpt-4o-mini,0.0,Spanish,1240,419,822,33.79032258064516,66.29032258064517
gpt-4o-mini,0.0,Tagalog,1240,457,850,36.854838709677416,68.54838709677419
gpt-4o-mini,0.0,Turkish,1240,480,850,38.70967741935484,68.54838709677419
gpt-4o-mini,0.0,Vietnamese,1240,441,859,35.564516129032256,69.2741935483871
gpt-4o-mini,0.2,Afrikaans,1240,414,914,33.387096774193544,73.70967741935483
gpt-4o-mini,0.2,Arabic,1240,570,834,45.96774193548387,67.25806451612904
gpt-4o-mini,0.2,Bulgarian,1240,615,784,49.596774193548384,63.2258064516129
gpt-4o-mini,0.2,Chinese,1240,464,872,37.41935483870968,70.3225806451613
gpt-4o-mini,0.2,Dutch,1240,438,871,35.32258064516129,70.24193548387096
gpt-4o-mini,0.2,English,1250,390,845,31.2,67.60000000000001
gpt-4o-mini,0.2,Estonian,1240,433,851,34.91935483870968,68.62903225806451
gpt-4o-mini,0.2,Finnish,1240,422,870,34.03225806451613,70.16129032258065
gpt-4o-mini,0.2,French,1240,461,826,37.17741935483871,66.61290322580645
gpt-4o-mini,0.2,German,1240,516,765,41.612903225806456,61.693548387096776
gpt-4o-mini,0.2,Greek,1240,644,719,51.935483870967744,57.983870967741936
gpt-4o-mini,0.2,Hebrew,1240,515,830,41.53225806451613,66.93548387096774
gpt-4o-mini,0.2,Hungarian,1240,569,779,45.887096774193544,62.82258064516129
gpt-4o-mini,0.2,Indonesian,1240,421,854,33.95161290322581,68.87096774193549
gpt-4o-mini,0.2,Italian,1240,430,792,34.67741935483871,63.87096774193548
gpt-4o-mini,0.2,Malay,1240,418,891,33.70967741935484,71.85483870967741
gpt-4o-mini,0.2,Persian,1240,662,768,53.387096774193544,61.935483870967744
gpt-4o-mini,0.2,Portuguese,1240,457,803,36.854838709677416,64.75806451612904
gpt-4o-mini,0.2,Russian,1240,603,745,48.62903225806451,60.08064516129033
gpt-4o-mini,0.2,Spanish,1240,422,826,34.03225806451613,66.61290322580645
gpt-4o-mini,0.2,Tagalog,1240,428,869,34.516129032258064,70.08064516129032
gpt-4o-mini,0.2,Turkish,1240,486,842,39.19354838709677,67.90322580645162
gpt-4o-mini,0.2,Vietnamese,1240,466,842,37.58064516129032,67.90322580645162
gpt-4o-mini,0.4,Afrikaans,1240,426,881,34.35483870967742,71.04838709677419
gpt-4o-mini,0.4,Arabic,1240,568,822,45.806451612903224,66.29032258064517
gpt-4o-mini,0.4,Bulgarian,1240,609,785,49.112903225806456,63.306451612903224
gpt-4o-mini,0.4,Chinese,1240,455,853,36.693548387096776,68.79032258064515
gpt-4o-mini,0.4,Dutch,1240,427,851,34.435483870967744,68.62903225806451
gpt-4o-mini,0.4,English,1250,398,826,31.840000000000003,66.08000000000001
gpt-4o-mini,0.4,Estonian,1240,412,867,33.225806451612904,69.91935483870968
gpt-4o-mini,0.4,Finnish,1240,424,862,34.193548387096776,69.51612903225806
gpt-4o-mini,0.4,French,1240,462,832,37.25806451612903,67.0967741935484
gpt-4o-mini,0.4,German,1240,527,783,42.5,63.145161290322584
gpt-4o-mini,0.4,Greek,1240,636,733,51.29032258064517,59.112903225806456
gpt-4o-mini,0.4,Hebrew,1240,518,841,41.774193548387096,67.8225806451613
gpt-4o-mini,0.4,Hungarian,1240,571,764,46.0483870967742,61.61290322580645
gpt-4o-mini,0.4,Indonesian,1240,426,850,34.35483870967742,68.54838709677419
gpt-4o-mini,0.4,Italian,1240,431,798,34.75806451612903,64.35483870967742
gpt-4o-mini,0.4,Malay,1240,411,889,33.145161290322584,71.69354838709677
gpt-4o-mini,0.4,Persian,1240,652,760,52.58064516129032,61.29032258064516
gpt-4o-mini,0.4,Portuguese,1240,458,811,36.935483870967744,65.40322580645162
gpt-4o-mini,0.4,Russian,1240,609,750,49.112903225806456,60.483870967741936
gpt-4o-mini,0.4,Spanish,1240,415,844,33.46774193548387,68.06451612903226
gpt-4o-mini,0.4,Tagalog,1240,442,844,35.64516129032258,68.06451612903226
gpt-4o-mini,0.4,Turkish,1240,493,843,39.75806451612903,67.98387096774194
gpt-4o-mini,0.4,Vietnamese,1240,461,847,37.17741935483871,68.30645161290323
gpt-4o-mini,0.6,Afrikaans,1240,430,898,34.67741935483871,72.41935483870968
gpt-4o-mini,0.6,Arabic,1240,566,840,45.645161290322584,67.74193548387096
gpt-4o-mini,0.6,Bulgarian,1240,596,783,48.064516129032256,63.145161290322584
gpt-4o-mini,0.6,Chinese,1240,460,859,37.096774193548384,69.2741935483871
gpt-4o-mini,0.6,Dutch,1240,442,844,35.64516129032258,68.06451612903226
gpt-4o-mini,0.6,English,1250,388,842,31.04,67.36
gpt-4o-mini,0.6,Estonian,1240,401,880,32.33870967741935,70.96774193548387
gpt-4o-mini,0.6,Finnish,1240,431,861,34.75806451612903,69.43548387096774
gpt-4o-mini,0.6,French,1240,485,825,39.11290322580645,66.53225806451613
gpt-4o-mini,0.6,German,1240,522,764,42.096774193548384,61.61290322580645
gpt-4o-mini,0.6,Greek,1240,643,729,51.85483870967742,58.79032258064516
gpt-4o-mini,0.6,Hebrew,1240,505,820,40.725806451612904,66.12903225806451
gpt-4o-mini,0.6,Hungarian,1240,569,775,45.887096774193544,62.5
gpt-4o-mini,0.6,Indonesian,1240,434,851,35.0,68.62903225806451
gpt-4o-mini,0.6,Italian,1240,441,785,35.564516129032256,63.306451612903224
gpt-4o-mini,0.6,Malay,1240,424,863,34.193548387096776,69.59677419354838
gpt-4o-mini,0.6,Persian,1240,623,768,50.24193548387097,61.935483870967744
gpt-4o-mini,0.6,Portuguese,1240,477,807,38.46774193548387,65.08064516129032
gpt-4o-mini,0.6,Russian,1240,596,766,48.064516129032256,61.7741935483871
gpt-4o-mini,0.6,Spanish,1240,408,844,32.903225806451616,68.06451612903226
gpt-4o-mini,0.6,Tagalog,1240,457,839,36.854838709677416,67.66129032258064
gpt-4o-mini,0.6,Turkish,1240,496,849,40.0,68.46774193548387
gpt-4o-mini,0.6,Vietnamese,1240,458,843,36.935483870967744,67.98387096774194
gpt-4o-mini,0.8,Afrikaans,1240,402,894,32.41935483870968,72.09677419354838
gpt-4o-mini,0.8,Arabic,1240,567,803,45.725806451612904,64.75806451612904
gpt-4o-mini,0.8,Bulgarian,1240,617,764,49.75806451612903,61.61290322580645
