Model,Language,Temp,vul@1,vul@3,vul@5,in_vul@1,in_vul@3,in_vul@5,security@1,security@3,security@5,in_security@1,in_security@3,in_security@5
starcoder2,French,0.8,8.522727272727273,21.628787878787882,30.862193362193363,13.295454545454547,32.07386363636363,44.53463203463203,92.04545454545455,78.4090909090909,71.5909090909091,88.63636363636364,71.5909090909091,61.36363636363637
starcoder2,Italian,0.8,5.999999999999999,16.035087719298247,23.893065998329156,10.631578947368418,25.236842105263165,35.46365914786968,95.78947368421052,86.31578947368422,74.73684210526315,92.63157894736842,78.94736842105263,66.3157894736842
starcoder2,Greek,0.8,6.043956043956044,15.85164835164835,23.38217338217338,10.109890109890111,25.1007326007326,35.40903540903541,94.5054945054945,86.81318681318682,78.02197802197803,83.51648351648352,71.42857142857143,62.637362637362635
starcoder2,Western Persian,0.8,5.888888888888888,15.12037037037037,22.072310405643737,10.666666666666668,25.185185185185187,35.11022927689594,97.77777777777777,87.77777777777777,78.88888888888889,91.11111111111111,74.44444444444444,64.44444444444444
starcoder2,Russian,0.8,7.6923076923076925,20.073260073260077,29.347636490493635,12.307692307692308,29.46886446886447,40.40205825920112,92.3076923076923,79.12087912087912,71.42857142857143,90.10989010989012,71.42857142857143,58.24175824175825
starcoder2,Bulgarian,0.8,4.705882352941177,12.901960784313726,19.73856209150327,8.235294117647058,20.372549019607845,29.481792717086837,95.29411764705881,85.88235294117646,81.17647058823529,94.11764705882352,78.82352941176471,71.76470588235294
starcoder2,Chinese,0.8,6.4444444444444455,17.10185185185185,25.21604938271605,10.88888888888889,26.055555555555554,36.43738977072311,96.66666666666667,83.33333333333334,73.33333333333333,91.11111111111111,72.22222222222221,62.22222222222222
starcoder2,Turkish,0.8,6.063829787234043,15.274822695035464,21.783181357649443,10.106382978723403,24.565602836879435,34.37605538669368,92.5531914893617,82.97872340425532,76.59574468085107,91.48936170212765,75.53191489361703,64.8936170212766
starcoder2,Estonian,0.8,4.999999999999999,13.100775193798453,19.3890734588409,11.27906976744186,26.666666666666668,36.85400516795866,93.02325581395348,81.3953488372093,79.06976744186046,88.37209302325581,72.09302325581395,65.11627906976744
starcoder2,Finnish,0.8,8.735632183908045,21.015325670498086,29.105090311986864,13.333333333333336,31.8103448275862,43.76026272577997,95.40229885057471,80.45977011494253,73.5632183908046,91.95402298850574,67.81609195402298,56.32183908045977
starcoder2,Hungarian,0.8,5.052631578947366,13.947368421052635,21.900584795321635,9.157894736842104,22.70175438596491,33.30409356725146,98.94736842105263,91.57894736842105,76.84210526315789,95.78947368421052,85.26315789473684,66.3157894736842
starcoder2,English,0.8,5.199999999999999,13.808333333333334,20.833333333333332,9.5,23.45,33.94444444444444,95.0,84.0,79.0,91.0,78.0,66.0
gemini-2.5-flash,Acehnese,0.0,44.36619718309859,44.969818913480886,45.07042253521127,73.23943661971832,74.54728370221329,74.64788732394366,56.33802816901409,54.929577464788736,54.929577464788736,28.169014084507044,25.352112676056336,25.352112676056336
gemini-2.5-flash,Hebrew,0.0,45.028409090909086,45.43425324675325,45.45454545454545,65.76704545454545,66.74107142857143,67.32954545454545,55.68181818181818,54.54545454545454,54.54545454545454,35.22727272727273,34.090909090909086,34.090909090909086
gemini-2.5-flash,Vietnamese,0.0,45.45454545454545,45.45454545454545,45.45454545454545,67.1875,67.4715909090909,67.75568181818183,54.54545454545454,54.54545454545454,54.54545454545454,31.818181818181817,31.818181818181817,31.818181818181817
gemini-2.5-flash,Indonesian,0.0,45.65217391304348,45.65217391304348,45.65217391304348,65.89673913043478,67.21661490683229,67.3913043478261,54.347826086956516,54.347826086956516,54.347826086956516,32.608695652173914,32.608695652173914,32.608695652173914
gemini-2.5-flash,Malayalam,0.0,40.5,41.09523809523809,41.30952380952381,68.83333333333333,70.09523809523809,70.97619047619048,60.0,58.666666666666664,58.666666666666664,29.333333333333332,28.000000000000004,28.000000000000004
gemini-2.5-flash,Tagalog,0.0,44.44444444444444,44.44444444444444,44.44444444444444,66.11111111111111,66.5873015873016,66.66666666666666,55.55555555555556,55.55555555555556,55.55555555555556,34.44444444444444,34.44444444444444,33.33333333333333
gemini-2.5-flash,Dutch,0.0,43.333333333333336,43.333333333333336,43.333333333333336,63.05555555555556,64.04761904761904,64.40476190476191,56.666666666666664,56.666666666666664,56.666666666666664,37.77777777777778,35.55555555555556,35.55555555555556
gemini-2.5-flash,German,0.0,44.97282608695652,45.45807453416149,45.632763975155285,65.625,67.29425465838509,67.3913043478261,54.347826086956516,54.347826086956516,54.347826086956516,35.869565217391305,32.608695652173914,32.608695652173914
gemini-2.5-flash,Afrikaans,0.0,44.57831325301205,44.57831325301205,44.57831325301205,66.71686746987952,67.44836488812392,67.46987951807229,55.42168674698795,55.42168674698795,55.42168674698795,32.53012048192771,32.53012048192771,32.53012048192771
gemini-2.5-flash,Portuguese,0.0,40.66265060240964,40.963855421686745,40.963855421686745,65.51204819277109,68.05077452667814,68.54561101549052,59.036144578313255,59.036144578313255,59.036144578313255,37.34939759036144,32.53012048192771,31.32530120481928
gemini-2.5-flash,Spanish,0.0,43.88586956521739,44.37111801242236,44.54580745341615,63.58695652173913,65.45031055900621,66.14906832298138,55.434782608695656,55.434782608695656,55.434782608695656,38.04347826086957,33.69565217391305,33.69565217391305
gemini-2.5-flash,French,0.0,45.45454545454545,46.42857142857144,46.590909090909086,69.0340909090909,70.17045454545455,70.43425324675326,55.68181818181818,53.40909090909091,53.40909090909091,31.818181818181817,29.545454545454547,29.545454545454547
gemini-2.5-flash,Italian,0.0,44.21052631578947,44.21052631578947,44.21052631578947,64.21052631578948,65.11278195488723,65.26315789473685,55.78947368421052,55.78947368421052,55.78947368421052,35.78947368421053,34.73684210526316,34.73684210526316
gemini-2.5-flash,Greek,0.0,43.543956043956044,43.93642072213501,43.956043956043956,64.83516483516483,64.83516483516483,64.83516483516483,56.043956043956044,56.043956043956044,56.043956043956044,35.16483516483517,35.16483516483517,35.16483516483517
gemini-2.5-flash,Western Persian,0.0,44.861111111111114,46.170634920634924,46.547619047619044,63.74999999999999,64.24603174603175,64.42460317460318,54.44444444444444,53.333333333333336,53.333333333333336,35.55555555555556,35.55555555555556,35.55555555555556
gemini-2.5-flash,Russian,0.0,39.56043956043956,39.56043956043956,39.56043956043956,65.52197802197803,65.914442700157,65.93406593406593,60.43956043956044,60.43956043956044,60.43956043956044,34.065934065934066,34.065934065934066,34.065934065934066
gemini-2.5-flash,Bulgarian,0.0,44.70588235294118,44.70588235294118,44.70588235294118,67.05882352941175,67.05882352941175,67.05882352941175,55.294117647058826,55.294117647058826,55.294117647058826,32.94117647058823,32.94117647058823,32.94117647058823
gemini-2.5-flash,Chinese,0.0,39.58333333333333,39.980158730158735,40.0,66.25,66.6468253968254,66.66666666666666,60.0,60.0,60.0,33.33333333333333,33.33333333333333,33.33333333333333
gemini-2.5-flash,Turkish,0.0,44.680851063829785,45.36474164133738,45.630699088145896,66.3563829787234,67.61018237082067,67.97112462006079,54.25531914893617,54.25531914893617,54.25531914893617,32.97872340425532,31.914893617021278,31.914893617021278
gemini-2.5-flash,Estonian,0.0,40.116279069767444,40.61461794019934,40.69767441860465,66.27906976744185,66.27906976744185,66.27906976744185,59.30232558139535,59.30232558139535,59.30232558139535,33.72093023255814,33.72093023255814,33.72093023255814
